,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
40,1,0.0,0.0,7800000,18100000,2,712,8600000,11200000,21700000,9000000,0.0
41,2,1.0,0.0,9100000,24900000,16,822,22300000,12100000,31000000,5200000,0.0
42,3,0.0,0.0,1400000,3400000,6,540,200000,1500000,3900000,800000,1.0
43,2,0.0,1.0,800000,2300000,12,342,2200000,1300000,1800000,800000,1.0
44,5,0.0,0.0,6500000,13400000,18,787,18200000,300000,16200000,5400000,0.0
45,4,0.0,0.0,8000000,27800000,16,331,13000000,6300000,21400000,10900000,1.0
46,3,1.0,1.0,4200000,14600000,6,679,2400000,6900000,8700000,4900000,0.0
47,1,0.0,1.0,4900000,19100000,14,677,5400000,9100000,17700000,6500000,0.0
48,3,1.0,0.0,5500000,20500000,12,634,800000,8600000,18500000,8200000,0.0
49,1,1.0,1.0,9500000,19100000,16,662,100000,10500000,37700000,11700000,0.0
50,4,0.0,0.0,7300000,25400000,16,502,500000,1800000,20500000,10500000,1.0
51,2,0.0,0.0,8700000,24700000,10,435,6800000,3500000,21800000,11300000,1.0
52,5,1.0,0.0,3800000,7600000,4,689,8700000,100000,9300000,3400000,0.0
53,1,1.0,1.0,8400000,23000000,12,657,15400000,14800000,31900000,8200000,0.0
54,2,0.0,1.0,5100000,19700000,20,590,7400000,9300000,19400000,3400000,0.0
55,5,1.0,0.0,6700000,24500000,12,818,1200000,5600000,16300000,6200000,0.0
56,2,1.0,0.0,4300000,10600000,18,431,2100000,1500000,9300000,5200000,1.0
57,5,0.0,1.0,9300000,30500000,18,841,19300000,10300000,34600000,8700000,0.0
58,1,0.0,0.0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,1.0
59,4,1.0,1.0,5500000,18200000,16,797,-100000,4900000,18600000,4800000,0.0
60,2,1.0,0.0,8500000,18900000,18,478,23800000,16300000,25900000,11400000,1.0
61,3,1.0,1.0,9600000,30500000,18,669,4700000,1900000,26500000,9300000,0.0
62,5,1.0,1.0,8800000,28900000,6,365,24400000,8600000,27400000,4700000,1.0
63,3,1.0,1.0,3300000,7500000,20,586,1600000,5600000,10500000,2900000,0.0
64,4,0.0,1.0,3900000,12300000,18,784,7600000,6900000,13100000,2800000,0.0
65,1,0.0,0.0,4100000,10300000,12,364,9500000,6100000,14900000,2800000,1.0
66,3,1.0,0.0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,0.0
67,0,1.0,1.0,2700000,10100000,20,693,200000,1700000,5900000,1400000,1.0
68,4,0.0,0.0,5600000,12400000,4,777,5500000,3100000,11800000,5500000,0.0
69,0,0.0,0.0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,1.0
70,4,1.0,1.0,500000,1500000,20,340,100000,200000,1900000,600000,1.0
71,5,0.0,1.0,5300000,18600000,4,386,2700000,9700000,11900000,4200000,0.0
72,5,1.0,0.0,7000000,18300000,4,418,18400000,11700000,21500000,7600000,1.0
73,3,1.0,1.0,5800000,16700000,16,735,3900000,9400000,12600000,5600000,0.0
74,2,1.0,0.0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,1.0
75,2,1.0,0.0,1900000,6500000,18,671,600000,2500000,4800000,1100000,0.0
76,4,0.0,0.0,5700000,14800000,16,697,14300000,7800000,12900000,6300000,0.0
77,0,0.0,0.0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,0.0
78,2,1.0,0.0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,0.0
79,0,1.0,0.0,700000,1400000,14,639,1900000,700000,2400000,900000,0.0
80,4,0.0,0.0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,1.0
81,0,1.0,0.0,8800000,31200000,4,826,2900000,500000,33300000,8600000,0.0
82,2,1.0,1.0,9900000,21200000,16,363,25500000,11400000,26600000,6800000,1.0
83,3,0.0,0.0,3600000,8600000,20,613,9400000,300000,10300000,3300000,0.0
84,3,1.0,1.0,3000000,8200000,16,713,5300000,5800000,11000000,3400000,0.0
85,2,0.0,0.0,6800000,21200000,16,439,17100000,4700000,23300000,3600000,1.0
86,5,1.0,1.0,1100000,3800000,18,387,1300000,1200000,3800000,1600000,1.0
87,1,1.0,1.0,8700000,28300000,8,402,20400000,13600000,27900000,10200000,1.0
88,4,0.0,1.0,2000000,8000000,6,837,5100000,2600000,3900000,2900000,0.0
89,2,1.0,0.0,9800000,37600000,10,641,24100000,0,23400000,7600000,0.0
90,4,0.0,0.0,5700000,21100000,18,489,500000,4300000,12500000,6000000,1.0
91,4,0.0,0.0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,1.0
92,4,0.0,0.0,3800000,8900000,4,844,9100000,3500000,13100000,4700000,0.0
93,1,0.0,0.0,1700000,6400000,10,452,900000,1100000,5600000,2100000,1.0
94,2,0.0,0.0,1000000,2000000,10,366,1200000,400000,3200000,1300000,1.0
95,5,0.0,0.0,300000,1100000,2,300,100000,500000,700000,400000,0.0
96,2,0.0,1.0,6600000,15000000,18,470,1200000,4800000,18200000,7000000,1.0
97,2,1.0,0.0,8700000,25000000,20,861,14700000,8500000,23200000,7300000,0.0
98,4,0.0,0.0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,0.0
99,0,0.0,0.0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,1.0
100,4,1.0,0.0,400000,900000,12,478,700000,100000,1200000,100000,1.0
101,2,1.0,1.0,300000,1100000,2,702,300000,200000,500000,200000,0.0
102,2,1.0,1.0,4300000,12900000,20,618,11400000,3600000,11400000,2400000,0.0
103,4,0.0,0.0,1600000,4500000,12,633,700000,1700000,4100000,1900000,0.0
104,5,1.0,1.0,6200000,23600000,10,331,18500000,10300000,23800000,8700000,1.0
105,3,1.0,1.0,4200000,9700000,16,841,7800000,300000,16700000,5100000,0.0
106,4,1.0,1.0,9000000,18100000,12,764,600000,16500000,20800000,11600000,0.0
107,0,0.0,0.0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,0.0
108,1,0.0,1.0,9700000,35900000,2,719,19600000,7600000,20400000,10900000,0.0
109,2,0.0,0.0,3300000,6800000,14,317,3400000,300000,11700000,3600000,1.0
110,0,1.0,0.0,300000,1100000,8,778,800000,200000,900000,100000,0.0
111,3,0.0,1.0,7400000,18200000,14,302,5600000,3100000,17900000,5000000,1.0
112,5,1.0,0.0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,1.0
113,5,1.0,1.0,7300000,22100000,18,879,19500000,10600000,19300000,9800000,0.0
114,1,1.0,0.0,8400000,23400000,14,437,15400000,5800000,33400000,8100000,1.0
115,0,1.0,1.0,3300000,10800000,12,797,600000,6000000,7700000,3300000,0.0
116,4,1.0,1.0,5800000,23200000,18,456,16100000,4200000,22600000,7500000,1.0
117,0,1.0,0.0,600000,1600000,6,647,1500000,600000,1500000,700000,0.0
118,0,1.0,0.0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,1.0
119,1,1.0,1.0,9100000,32900000,2,717,2200000,2000000,23600000,5900000,0.0
120,5,0.0,0.0,900000,2300000,16,545,100000,200000,2700000,800000,1.0
121,2,0.0,0.0,800000,3200000,8,317,300000,1000000,2000000,900000,1.0
122,1,1.0,0.0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,0.0
123,0,1.0,1.0,9000000,18700000,18,865,26800000,0,20900000,11300000,0.0
124,3,0.0,0.0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,0.0
125,3,0.0,0.0,200000,600000,16,821,400000,100000,500000,100000,0.0
126,4,1.0,1.0,400000,800000,10,859,900000,500000,800000,200000,0.0
127,3,1.0,0.0,5100000,18200000,10,395,100000,8000000,15500000,6300000,1.0
128,2,1.0,1.0,700000,2600000,12,429,1600000,1300000,2700000,800000,1.0
129,3,0.0,0.0,400000,1200000,12,861,200000,600000,1100000,200000,0.0
130,0,1.0,1.0,9500000,20800000,14,565,15100000,11900000,33900000,13400000,0.0
131,5,0.0,0.0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,1.0
132,3,1.0,1.0,1800000,3600000,18,465,600000,500000,5400000,2600000,1.0
133,4,1.0,1.0,6800000,13900000,8,479,11700000,9100000,25700000,9600000,1.0
134,3,1.0,0.0,1500000,5500000,16,717,2100000,800000,4400000,1300000,0.0
135,3,0.0,0.0,1600000,5500000,12,425,600000,800000,5400000,900000,1.0
136,2,1.0,0.0,4600000,16700000,2,786,200000,5900000,13900000,6100000,0.0
137,5,1.0,1.0,2200000,6700000,6,382,4400000,1300000,8600000,1100000,1.0
138,3,1.0,1.0,2900000,8500000,12,564,1000000,3100000,7500000,1800000,0.0
139,0,0.0,0.0,200000,700000,8,501,500000,200000,700000,100000,1.0
140,2,1.0,1.0,2500000,9400000,10,727,6600000,4100000,9500000,3300000,0.0
141,4,1.0,0.0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,0.0
142,0,0.0,1.0,5500000,16700000,18,829,5500000,1300000,12800000,5900000,0.0
143,4,1.0,0.0,6600000,17400000,20,506,2600000,10000000,25900000,7200000,1.0
144,2,0.0,1.0,8600000,32100000,6,802,9400000,16700000,24500000,9800000,0.0
145,5,1.0,0.0,600000,1500000,14,543,300000,900000,2100000,300000,1.0
146,3,0.0,1.0,1400000,3200000,20,772,2400000,900000,5100000,1600000,0.0
147,3,0.0,0.0,4000000,11100000,12,572,9700000,100000,12500000,2400000,0.0
148,0,1.0,1.0,4900000,11900000,16,709,14600000,900000,18500000,3800000,0.0
149,5,0.0,0.0,2000000,6200000,18,402,4000000,2100000,7200000,1100000,1.0
150,1,1.0,1.0,5200000,19300000,8,481,14300000,9500000,18800000,4200000,1.0
151,5,0.0,1.0,8900000,28800000,6,772,13600000,5500000,20400000,8400000,0.0
152,1,0.0,1.0,6500000,20600000,2,306,15900000,1900000,18100000,3200000,0.0
153,2,1.0,0.0,1300000,4500000,6,415,0,900000,2900000,1200000,1.0
154,3,1.0,0.0,9400000,35000000,16,548,18200000,4400000,36100000,4800000,1.0
155,5,1.0,0.0,5000000,11200000,8,701,9100000,500000,14000000,4600000,0.0
156,2,0.0,0.0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,0.0
157,5,1.0,1.0,9900000,33300000,6,364,5300000,18700000,27800000,8300000,1.0
158,5,0.0,1.0,700000,1300000,20,704,1600000,0,2200000,600000,0.0
159,3,0.0,1.0,4000000,10600000,10,318,1500000,5100000,8000000,4900000,1.0
160,5,1.0,0.0,3100000,9600000,2,761,5800000,1800000,10400000,4200000,0.0
161,4,1.0,0.0,4500000,15100000,6,693,3700000,1500000,17800000,6000000,0.0
162,3,1.0,0.0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,1.0
163,2,1.0,1.0,2000000,5300000,10,681,4900000,1400000,4300000,2900000,0.0
164,2,0.0,1.0,8100000,22300000,18,737,22300000,12600000,27000000,7300000,0.0
165,0,1.0,0.0,5700000,15900000,16,638,100000,9500000,16300000,4500000,0.0
166,4,1.0,0.0,5800000,12800000,2,656,500000,5000000,16000000,2800000,0.0
167,1,0.0,0.0,1800000,6500000,6,540,2500000,3200000,5000000,1100000,1.0
168,4,1.0,1.0,9100000,35200000,6,341,1000000,300000,23100000,8200000,1.0
169,0,1.0,1.0,4800000,17500000,2,371,11700000,6800000,18700000,3500000,0.0
170,3,1.0,1.0,3800000,10500000,12,886,4000000,500000,14900000,2300000,0.0
171,0,1.0,0.0,1900000,4100000,18,801,400000,800000,4800000,1200000,0.0
172,3,1.0,1.0,3600000,9500000,16,748,7700000,2400000,9700000,2600000,0.0
173,2,1.0,1.0,7400000,28200000,8,376,21900000,5000000,17400000,5200000,1.0
174,4,1.0,1.0,6600000,14300000,8,371,10800000,9500000,18500000,7400000,1.0
175,2,0.0,0.0,1800000,5300000,6,826,4500000,700000,6500000,1300000,0.0
176,4,1.0,0.0,9200000,27200000,12,873,4500000,1800000,33800000,11400000,0.0
177,5,1.0,1.0,2400000,8600000,8,309,500000,600000,5700000,2800000,1.0
178,4,1.0,0.0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,0.0
179,5,0.0,0.0,3800000,13900000,12,534,4700000,2900000,8200000,2800000,1.0
180,3,1.0,1.0,4500000,17900000,6,787,9800000,3600000,14300000,4200000,0.0
181,0,0.0,1.0,900000,2200000,16,566,100000,700000,2000000,600000,0.0
182,0,1.0,0.0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,0.0
183,2,1.0,0.0,7500000,23100000,4,824,12100000,10900000,26300000,9500000,0.0
184,4,0.0,0.0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,0.0
185,2,0.0,1.0,3800000,10900000,10,766,1900000,3900000,8600000,3000000,0.0
186,1,1.0,1.0,1700000,5000000,10,888,2900000,900000,4100000,2200000,0.0
187,3,0.0,1.0,9000000,30400000,6,638,16800000,11000000,26900000,9200000,0.0
188,5,1.0,1.0,7300000,23300000,6,622,7100000,11600000,26400000,10500000,0.0
189,1,1.0,0.0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,1.0
190,1,1.0,0.0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,1.0
191,0,1.0,0.0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,0.0
192,1,0.0,0.0,800000,2900000,8,682,2200000,1100000,2900000,700000,0.0
193,2,0.0,0.0,4800000,13200000,2,583,13700000,5800000,9500000,5200000,0.0
194,5,1.0,0.0,6400000,18300000,8,697,10000000,3600000,22500000,3600000,0.0
195,3,0.0,0.0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,1.0
196,4,1.0,1.0,400000,1500000,2,669,-100000,600000,900000,500000,0.0
197,2,1.0,0.0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,0.0
198,4,1.0,1.0,8500000,28900000,20,455,15200000,5800000,22500000,9400000,1.0
199,3,0.0,1.0,4700000,16400000,10,318,11400000,8100000,16200000,4300000,1.0
200,4,1.0,1.0,9800000,21200000,20,355,22000000,8900000,31800000,14400000,1.0
201,2,1.0,1.0,3800000,8900000,16,389,200000,5600000,12200000,2200000,1.0
202,2,0.0,0.0,500000,1500000,2,888,1500000,300000,1500000,600000,0.0
203,2,0.0,1.0,6900000,15600000,6,352,13000000,5300000,22600000,10000000,1.0
204,4,1.0,1.0,9600000,30100000,12,870,300000,6700000,38200000,5600000,0.0
205,3,1.0,0.0,2900000,6500000,18,827,8300000,600000,10400000,3200000,0.0
206,2,0.0,0.0,9800000,20900000,12,768,3400000,10200000,38600000,13400000,0.0
207,0,0.0,0.0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,0.0
208,1,1.0,1.0,7700000,19100000,10,355,11300000,4900000,21900000,6600000,1.0
209,3,0.0,0.0,1400000,3300000,2,652,100000,2100000,3500000,1900000,0.0
210,3,0.0,0.0,7800000,15900000,2,665,14400000,900000,27200000,5400000,0.0
211,5,1.0,1.0,1700000,6000000,18,420,500000,1600000,3700000,2300000,1.0
212,2,1.0,0.0,8500000,32700000,18,471,12600000,9400000,33900000,12500000,1.0
213,5,1.0,0.0,1900000,7500000,20,715,5100000,2800000,6500000,2800000,0.0
214,2,1.0,1.0,6700000,15200000,10,689,0,8200000,15000000,6800000,0.0
215,3,0.0,1.0,6900000,16400000,4,787,11100000,6100000,26400000,3800000,0.0
216,2,0.0,0.0,2600000,7800000,4,819,3100000,4300000,5700000,1500000,0.0
217,4,0.0,1.0,9600000,21100000,6,809,16100000,9500000,34700000,8700000,0.0
218,1,1.0,1.0,6800000,17000000,2,744,15500000,3900000,23700000,3500000,0.0
219,0,1.0,0.0,3200000,11300000,6,484,3500000,5500000,8500000,2100000,1.0
220,4,1.0,0.0,2900000,10400000,6,673,5100000,1700000,10600000,1700000,0.0
221,3,0.0,1.0,7900000,21200000,18,695,13800000,10600000,21800000,4900000,0.0
222,4,1.0,1.0,3900000,12400000,12,473,6400000,4700000,13100000,3800000,1.0
223,4,0.0,1.0,4600000,11000000,2,491,9000000,4000000,16100000,3500000,1.0
224,3,1.0,1.0,700000,1700000,8,733,1200000,800000,2400000,500000,0.0
225,0,1.0,0.0,5200000,15600000,20,434,14100000,5800000,18100000,5500000,1.0
226,3,1.0,1.0,5900000,20600000,10,777,1900000,4600000,21200000,6400000,0.0
227,4,0.0,0.0,7200000,19100000,4,774,9400000,7000000,17900000,3600000,0.0
228,1,1.0,1.0,8700000,27000000,10,717,25500000,8600000,17500000,9100000,0.0
229,3,1.0,1.0,1100000,3500000,12,503,3000000,400000,2200000,1200000,1.0
230,1,0.0,1.0,4000000,10900000,14,598,3600000,6600000,13600000,4400000,0.0
231,2,0.0,0.0,9800000,32400000,2,543,24200000,17500000,25700000,7700000,0.0
232,0,1.0,1.0,2700000,6800000,20,796,700000,4200000,7000000,1900000,0.0
233,3,1.0,1.0,8800000,34600000,8,386,14800000,16500000,18400000,6000000,1.0
234,5,1.0,1.0,3300000,7800000,16,632,8500000,500000,7100000,4900000,0.0
235,1,0.0,1.0,6900000,23400000,4,481,18700000,1100000,23400000,10200000,0.0
236,3,0.0,1.0,900000,3500000,4,770,700000,0,2000000,600000,1.0
237,3,0.0,1.0,4100000,15500000,6,667,2800000,1600000,14700000,4000000,0.0
238,3,1.0,1.0,4700000,17500000,8,585,1200000,3100000,9600000,4900000,0.0
239,5,0.0,1.0,3400000,11600000,16,479,9200000,5700000,11200000,2400000,1.0
240,2,0.0,0.0,9600000,22500000,18,851,7400000,16200000,24300000,12700000,0.0
241,3,1.0,1.0,7000000,16200000,6,378,20000000,12600000,20300000,5500000,1.0
242,5,0.0,0.0,5700000,12900000,18,807,4100000,900000,18600000,5500000,0.0
243,1,1.0,1.0,8200000,32400000,18,831,22800000,12300000,17700000,7800000,0.0
244,2,1.0,0.0,2100000,5100000,12,674,2200000,3200000,6400000,2400000,0.0
245,1,1.0,1.0,8000000,28100000,18,725,1900000,12800000,23000000,7500000,0.0
246,2,1.0,0.0,8000000,29300000,4,600,16500000,13200000,29400000,6500000,0.0
247,0,1.0,1.0,9400000,27000000,10,536,4400000,1700000,33800000,4800000,1.0
248,0,0.0,0.0,8400000,20600000,10,477,1500000,1500000,25000000,11900000,1.0
249,1,1.0,1.0,1900000,5000000,6,560,1000000,1900000,6300000,1400000,0.0
250,0,1.0,1.0,4200000,16400000,20,539,9500000,2100000,11400000,3100000,1.0
251,5,0.0,0.0,2600000,9100000,8,852,3700000,700000,10300000,3300000,0.0
252,3,1.0,0.0,3700000,8500000,20,853,8300000,5700000,7500000,4900000,0.0
253,0,0.0,0.0,8800000,30900000,12,729,1700000,700000,25700000,11400000,0.0
254,2,1.0,0.0,2100000,4700000,2,546,6000000,3200000,5700000,1500000,1.0
255,3,0.0,1.0,900000,2400000,10,489,800000,0,2800000,500000,1.0
256,3,0.0,1.0,9800000,35400000,6,869,14400000,16400000,22800000,10300000,0.0
257,2,1.0,0.0,8000000,20000000,2,502,4100000,2200000,31600000,9900000,1.0
258,0,0.0,0.0,9800000,38800000,8,652,23200000,19000000,29700000,5400000,0.0
259,0,1.0,1.0,300000,1100000,8,789,400000,100000,800000,400000,0.0
260,4,1.0,0.0,2700000,8100000,4,325,5000000,800000,9900000,3400000,0.0
261,3,0.0,1.0,7400000,19600000,2,716,4100000,8900000,29100000,4200000,0.0
262,3,0.0,0.0,9200000,34300000,18,523,25600000,4000000,29100000,8800000,1.0
263,5,1.0,0.0,9500000,22200000,20,352,24500000,0,30800000,7000000,1.0
264,5,0.0,1.0,3800000,14400000,2,345,3300000,800000,13000000,4700000,0.0
265,0,0.0,0.0,8300000,19400000,18,649,2500000,16100000,24300000,11300000,0.0
266,2,0.0,1.0,2800000,7400000,18,666,100000,2300000,6300000,3400000,0.0
267,0,0.0,0.0,8600000,20900000,10,813,11300000,11900000,26000000,4800000,0.0
268,0,1.0,0.0,5400000,16800000,10,599,5300000,7400000,14500000,7600000,0.0
269,5,0.0,1.0,4200000,9400000,6,678,4700000,5500000,9900000,5700000,0.0
270,5,1.0,0.0,5200000,12200000,20,513,13400000,2000000,16800000,5400000,1.0
271,5,0.0,0.0,9400000,27900000,4,870,1100000,200000,29500000,10400000,0.0
272,3,0.0,0.0,8800000,20400000,8,483,3200000,11400000,28200000,11800000,1.0
273,1,0.0,1.0,5900000,16700000,16,308,5800000,8800000,19100000,5300000,1.0
274,3,0.0,1.0,1700000,4900000,16,591,4700000,1000000,4300000,1400000,0.0
275,1,1.0,0.0,7000000,23000000,10,886,14000000,3700000,26700000,3600000,0.0
276,4,1.0,0.0,1700000,4000000,6,829,0,1600000,5200000,1700000,0.0
277,0,1.0,0.0,1500000,4900000,12,651,1600000,2800000,4600000,800000,0.0
278,4,1.0,0.0,2000000,4700000,18,733,3700000,3700000,7000000,2800000,0.0
279,5,0.0,1.0,3900000,15500000,12,433,9500000,5400000,7900000,4600000,1.0
280,1,0.0,1.0,900000,3600000,14,713,1300000,1000000,1800000,1200000,0.0
281,1,0.0,0.0,6900000,22500000,18,403,800000,8400000,16900000,6300000,1.0
282,0,0.0,1.0,2800000,7800000,10,405,7800000,2500000,7100000,3400000,1.0
283,3,0.0,1.0,6800000,19900000,10,516,16000000,6000000,26000000,8500000,1.0
284,4,1.0,1.0,600000,1800000,8,417,1700000,700000,1800000,800000,1.0
285,1,1.0,0.0,4700000,14000000,6,468,11300000,1800000,10600000,4600000,1.0
286,5,0.0,1.0,3000000,11800000,10,672,8700000,3600000,9800000,4100000,0.0
287,5,1.0,0.0,4000000,13900000,6,530,6000000,5600000,12500000,6000000,1.0
288,1,1.0,1.0,3100000,11300000,14,824,3700000,6000000,11000000,4400000,0.0
289,1,1.0,1.0,7700000,25500000,12,549,18100000,10600000,20500000,7000000,1.0
290,5,1.0,1.0,4300000,9300000,10,450,2100000,6700000,10000000,4100000,1.0
291,1,0.0,1.0,5800000,19500000,20,431,13800000,5000000,15600000,3300000,1.0
292,3,0.0,1.0,3600000,10700000,16,312,2300000,1600000,13100000,5200000,1.0
293,0,1.0,1.0,2900000,7600000,8,320,8000000,5600000,9600000,3100000,1.0
294,0,0.0,0.0,8800000,20200000,4,433,16000000,4200000,30500000,12400000,1.0
295,1,1.0,1.0,300000,1000000,10,431,400000,500000,900000,100000,1.0
296,5,1.0,1.0,8600000,28900000,8,516,9900000,1800000,30200000,6800000,1.0
297,2,1.0,1.0,3500000,12000000,14,476,1100000,6800000,12400000,2900000,1.0
298,5,0.0,0.0,800000,2600000,6,560,100000,200000,3000000,1000000,0.0
299,2,0.0,0.0,8000000,27100000,12,674,14400000,400000,25300000,6400000,0.0
300,0,1.0,1.0,9900000,38200000,6,573,17200000,10000000,20100000,5900000,0.0
301,2,1.0,0.0,3300000,6600000,6,331,6300000,2000000,8900000,2700000,1.0
302,4,0.0,1.0,2000000,6700000,12,633,100000,800000,4800000,2000000,0.0
303,3,1.0,0.0,4900000,12900000,18,877,1800000,7000000,17900000,3300000,0.0
304,5,1.0,1.0,9200000,23600000,12,656,1400000,11200000,36400000,4900000,0.0
305,0,1.0,0.0,7500000,18200000,6,782,7400000,12000000,19800000,4100000,0.0
306,5,1.0,0.0,9000000,29300000,4,531,10400000,9500000,35500000,5800000,0.0
307,3,1.0,0.0,1400000,4100000,8,455,3000000,1400000,2900000,2100000,1.0
308,3,0.0,0.0,9600000,19900000,14,452,4200000,16200000,28500000,6600000,1.0
309,2,0.0,0.0,8400000,33200000,14,474,19600000,15000000,25400000,11500000,1.0
310,3,1.0,0.0,6400000,24400000,4,483,7800000,2400000,19100000,4500000,0.0
311,4,0.0,0.0,5900000,16800000,8,481,6900000,11400000,19500000,3300000,1.0
312,2,0.0,1.0,2200000,5100000,20,859,3800000,1200000,6400000,3100000,0.0
313,4,0.0,1.0,5600000,14100000,14,696,9000000,9200000,16500000,6800000,0.0
314,4,1.0,0.0,9800000,28700000,6,778,16600000,7400000,29700000,11100000,0.0
315,4,0.0,0.0,4400000,14600000,4,499,1300000,6500000,16100000,5700000,0.0
316,2,1.0,1.0,2400000,4900000,4,888,6400000,4300000,5100000,3400000,0.0
317,1,0.0,0.0,4400000,10800000,12,674,9600000,2700000,17200000,5300000,0.0
318,4,0.0,0.0,3700000,13200000,4,802,9800000,2400000,12500000,4300000,0.0
